Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/03 19:00:00,5.272400876,1.777479618,0.901416889,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.621385559,0.127452299,0.398284023,0.585282702,0.861099786
01/03 20:00:00,5.242029233,1.728574357,0.920785355,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.658882972,0.135143384,0.315346149,0.604126839,0.879170177
01/03 21:00:00,4.861611346,1.600128979,0.859737126,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.567817873,0.11646503,0.275875149,0.624895915,0.816691274
01/03 22:00:00,4.42452789,1.458263789,0.782551445,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.476752706,9.78E-02,0.25834249,0.610306906,0.740510554
01/03 23:00:00,3.628436189,1.181738183,0.658096295,0.00E+00,4.37E-03,0.00E+00,1.21E-04,1.21E-04,1.21E-04,0.35890373,7.36E-02,0.205881021,0.528142414,0.617341546
01/04 1052016:00:00,3.887924285,0.921232798,1.031813797,0.00E+00,0.516903265,0.00E+00,1.43E-02,1.43E-02,1.43E-02,0.246411489,5.05E-02,0.13592089,0.45894593,0.483296116
01/04 1:00:00,4.371267218,0.667649785,1.506843333,0.00E+00,1.141211036,0.00E+00,3.17E-02,3.17E-02,3.17E-02,0.128562513,2.64E-02,8.64E-02,0.37961819,0.339482361
01/04 2:00:00,5.157531613,0.573820981,1.977929739,0.00E+00,1.680049078,0.00E+00,4.66E-02,4.66E-02,4.66E-02,7.50E-02,1.54E-02,7.22E-02,0.349528357,0.273803458
01/04 3:00:00,5.951582793,0.543442372,2.393181307,0.00E+00,2.113362977,0.00E+00,5.86E-02,5.86E-02,5.86E-02,5.36E-02,1.10E-02,5.97E-02,0.345475855,0.256020282
01/04 4:00:00,6.6943304,0.54141683,2.75638189,0.00E+00,2.471772669,0.00E+00,6.86E-02,6.86E-02,6.86E-02,5.36E-02,1.10E-02,5.26E-02,0.340612851,0.26114616
01/04 5:00:00,7.313351378,0.545924522,3.054128721,0.00E+00,2.718135411,0.00E+00,7.54E-02,7.54E-02,7.54E-02,5.36E-02,1.10E-02,6.32E-02,0.327746155,0.313416569
01/04 6:00:00,8.097190323,0.599650488,3.390747647,0.00E+00,2.822826662,0.00E+00,7.83E-02,7.83E-02,7.83E-02,5.36E-02,1.10E-02,7.60E-02,0.365738368,0.542727158
01/04 7:00:00,9.170649013,0.791880742,3.739519315,0.00E+00,2.739758281,0.00E+00,7.60E-02,7.60E-02,7.60E-02,0.123205778,2.53E-02,0.129758135,0.422574718,0.970652044
01/04 8:00:00,9.011424764,1.068504821,3.411629371,0.00E+00,2.292780131,0.00E+00,6.36E-02,6.36E-02,6.36E-02,0.251768291,5.16E-02,0.207406095,0.449017299,1.087918756
01/04 9:00:00,7.440650914,0.998671926,2.697482558,0.00E+00,1.614746308,0.00E+00,4.48E-02,4.48E-02,4.48E-02,0.241054754,4.94E-02,0.268690864,0.37961819,1.056586314
01/04 10:00:00,5.194022311,0.838080859,1.756185924,0.00E+00,0.771849065,0.00E+00,2.14E-02,2.14E-02,2.14E-02,0.123205778,2.53E-02,0.33003376,0.323085777,0.962081148
01/04 11:00:00,4.061352258,0.822831195,1.217220219,0.00E+00,0.343950618,0.00E+00,9.54E-03,9.54E-03,9.54E-03,0.101778637,2.09E-02,0.344876896,0.33068422,0.850490473
01/04 12:00:00,3.162300637,0.829635002,0.770433779,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.361120015,0.330785532,0.747647672
01/04 13:00:00,2.966987517,0.814789051,0.68743125,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.351846255,0.325213341,0.665028983
01/04 14:00:00,2.824914431,0.792036528,0.639534559,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.317848037,0.336459036,0.616357634
01/04 15:00:00,2.73401109,0.79223188,0.59453943,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.107135439,2.20E-02,0.292642405,0.355404486,0.57005745
01/04 16:00:00,2.868545618,0.854486795,0.600229039,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.133919315,2.75E-02,0.302863858,0.375160437,0.574386174
01/04 17:00:00,3.44283924,1.083676026,0.660588154,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.224984415,4.61E-02,0.353721026,0.443749045,0.630020574
01/04 18:00:00,4.529927024,1.502758382,0.788310342,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.417828218,8.57E-02,0.445070293,0.539084171,0.751175618
01/04 19:00:00,5.271134666,1.777479618,0.900783784,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.621385559,0.127452299,0.398284023,0.585282702,0.860466681
01/04 20:00:00,5.240146595,1.728574357,0.919844036,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.658882972,0.135143384,0.315346149,0.604126839,0.878228858
01/04 21:00:00,4.857480989,1.600128979,0.857671948,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.567817873,0.11646503,0.275875149,0.624895915,0.814626095
01/04 22:00:00,4.419404566,1.458263789,0.779989783,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.476752706,9.78E-02,0.25834249,0.610306906,0.737948892
01/04 23:00:00,3.614896646,1.181616863,0.651566811,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.35890373,7.36E-02,0.205881021,0.528142414,0.615185807
01/05 1052040:00:00,2.80919924,0.907066128,0.520727279,0.00E+00,6.18E-03,0.00E+00,1.71E-04,1.71E-04,1.71E-04,0.246411489,5.05E-02,0.13592089,0.45894593,0.482934524
01/05 1:00:00,3.296954225,0.653530535,0.998046462,0.00E+00,0.632195658,0.00E+00,1.75E-02,1.75E-02,1.75E-02,0.128562513,2.64E-02,8.64E-02,0.37961819,0.339700867
01/05 2:00:00,4.064433399,0.559455961,1.460163142,0.00E+00,1.162173387,0.00E+00,3.22E-02,3.22E-02,3.22E-02,7.50E-02,1.54E-02,7.22E-02,0.349528357,0.273912552
01/05 3:00:00,4.870264932,0.529231167,1.880927979,0.00E+00,1.601032498,0.00E+00,4.44E-02,4.44E-02,4.44E-02,5.36E-02,1.10E-02,5.97E-02,0.345475855,0.256097433
01/05 4:00:00,5.605497475,0.527106681,2.240570502,0.00E+00,1.955875152,0.00E+00,5.43E-02,5.43E-02,5.43E-02,5.36E-02,1.10E-02,5.26E-02,0.340612851,0.261232289
01/05 5:00:00,6.214833631,0.531483542,2.533690337,0.00E+00,2.197521276,0.00E+00,6.10E-02,6.10E-02,6.10E-02,5.36E-02,1.10E-02,6.32E-02,0.327746155,0.313592321
01/05 6:00:00,7.027253671,0.585577778,2.883965676,0.00E+00,2.315489117,0.00E+00,6.42E-02,6.42E-02,6.42E-02,5.36E-02,1.10E-02,7.60E-02,0.365738368,0.543282732
01/05 7:00:00,8.090108092,0.777647561,3.227665445,0.00E+00,2.226635557,0.00E+00,6.18E-02,6.18E-02,6.18E-02,0.123205778,2.53E-02,0.129758135,0.422574718,0.971920898
01/05 8:00:00,8.26141385,1.058610815,3.056420917,0.00E+00,1.936089691,0.00E+00,5.37E-02,5.37E-02,5.37E-02,0.251768291,5.16E-02,0.207406095,0.449017299,1.089400742
01/05 9:00:00,7.434087111,0.99854678,2.69441323,0.00E+00,1.610234656,0.00E+00,4.47E-02,4.47E-02,4.47E-02,0.241054754,4.94E-02,0.268690864,0.37961819,1.058028637
01/05 10:00:00,6.383282347,0.853673651,2.319619546,0.00E+00,1.333987356,0.00E+00,3.70E-02,3.70E-02,3.70E-02,0.123205778,2.53E-02,0.33003376,0.323085777,0.963376479
01/05 11:00:00,6.626168735,0.856504342,2.432301884,0.00E+00,1.557906707,0.00E+00,4.32E-02,4.32E-02,4.32E-02,0.101778637,2.09E-02,0.344876896,0.33068422,0.851616049
01/05 12:00:00,4.838580378,0.851547903,1.564767199,0.00E+00,0.78998555,0.00E+00,2.19E-02,2.19E-02,2.19E-02,0.101778637,2.09E-02,0.361120015,0.330785532,0.751995542
01/05 13:00:00,4.174374543,0.830411615,1.259913481,0.00E+00,0.563211572,0.00E+00,1.56E-02,1.56E-02,1.56E-02,0.101778637,2.09E-02,0.351846255,0.325213341,0.674299642
01/05 14:00:00,3.641916787,0.802457143,1.02722543,0.00E+00,0.375675261,0.00E+00,1.04E-02,1.04E-02,1.04E-02,0.101778637,2.09E-02,0.317848037,0.336459036,0.628373243
01/05 15:00:00,3.280461526,0.799083038,0.854064069,0.00E+00,0.246992205,0.00E+00,6.85E-03,6.85E-03,6.85E-03,0.107135439,2.20E-02,0.292642405,0.355404486,0.582589884
01/05 16:00:00,3.229412552,0.858855911,0.771922948,0.00E+00,0.157511702,0.00E+00,4.37E-03,4.37E-03,4.37E-03,0.133919315,2.75E-02,0.302863858,0.375160437,0.588568381
