Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,14,21,0,0.00E+00
2019,1,14,21,30,0.00E+00
2019,1,14,22,0,0.00E+00
2019,1,14,22,30,0.00E+00
2019,1,14,23,0,0.00E+00
2019,1,14,23,30,0.00E+00
2019,1,15,0,0,0.00E+00
2019,1,15,0,30,0.00E+00
2019,1,15,1,0,0.00E+00
2019,1,15,1,30,0.00E+00
2019,1,15,2,0,0.00E+00
2019,1,15,2,30,0.00E+00
2019,1,15,3,0,0.00E+00
2019,1,15,3,30,0.00E+00
2019,1,15,4,0,0.00E+00
2019,1,15,4,30,0.00E+00
2019,1,15,5,0,0.00E+00
2019,1,15,5,30,0.00E+00
2019,1,15,6,0,0.00E+00
2019,1,15,6,30,0.00E+00
2019,1,15,7,0,0.00E+00
2019,1,15,7,30,1.14E-01
2019,1,15,8,0,2.59E-01
2019,1,15,8,30,1.55E-01
2019,1,15,9,0,1.71E-01
2019,1,15,9,30,6.14E-01
2019,1,15,10,0,6.80E-01
2019,1,15,10,30,1.16E+00
2019,1,15,11,0,1.42E+00
2019,1,15,11,30,8.03E-01
2019,1,15,12,0,7.41E-01
2019,1,15,12,30,4.29E-01
2019,1,15,13,0,1.59E-01
2019,1,15,13,30,2.23E-01
2019,1,15,14,0,2.29E-01
2019,1,15,14,30,2.60E-01
2019,1,15,15,0,1.21E-01
2019,1,15,15,30,6.76E-02
2019,1,15,16,0,3.45E-02
2019,1,15,16,30,1.11E-02
2019,1,15,17,0,0.00E+00
2019,1,15,17,30,0.00E+00
2019,1,15,18,0,0.00E+00
2019,1,15,18,30,0.00E+00
2019,1,15,19,0,0.00E+00
2019,1,15,19,30,0.00E+00
2019,1,15,20,0,0.00E+00
2019,1,15,20,30,0.00E+00
2019,1,15,21,0,0.00E+00
2019,1,15,21,30,0.00E+00
2019,1,15,22,0,0.00E+00
2019,1,15,22,30,0.00E+00
2019,1,15,23,0,0.00E+00
2019,1,15,23,30,0.00E+00
2019,1,16,0,0,0.00E+00
2019,1,16,0,30,0.00E+00
2019,1,16,1,0,0.00E+00
2019,1,16,1,30,0.00E+00
2019,1,16,2,0,0.00E+00
2019,1,16,2,30,0.00E+00
2019,1,16,3,0,0.00E+00
2019,1,16,3,30,0.00E+00
2019,1,16,4,0,0.00E+00
2019,1,16,4,30,0.00E+00
2019,1,16,5,0,0.00E+00
2019,1,16,5,30,0.00E+00
2019,1,16,6,0,0.00E+00
2019,1,16,6,30,0.00E+00
2019,1,16,7,0,0.00E+00
2019,1,16,7,30,2.94E-01
2019,1,16,8,0,3.52E-01
2019,1,16,8,30,4.70E-01
2019,1,16,9,0,1.83E-01
2019,1,16,9,30,6.74E-01
2019,1,16,10,0,4.23E-01
2019,1,16,10,30,4.48E-01
2019,1,16,11,0,5.70E-01
2019,1,16,11,30,3.31E-01
2019,1,16,12,0,2.35E-01
2019,1,16,12,30,3.22E-01
2019,1,16,13,0,3.59E-01
2019,1,16,13,30,2.61E-01
2019,1,16,14,0,1.93E-01
2019,1,16,14,30,4.16E-01
2019,1,16,15,0,2.75E-01
2019,1,16,15,30,7.28E-02
2019,1,16,16,0,4.03E-02
2019,1,16,16,30,1.40E-02
2019,1,16,17,0,0.00E+00
2019,1,16,17,30,0.00E+00
2019,1,16,18,0,0.00E+00
2019,1,16,18,30,0.00E+00
2019,1,16,19,0,0.00E+00
2019,1,16,19,30,0.00E+00
2019,1,16,20,0,0.00E+00
2019,1,16,20,30,0.00E+00
2019,1,16,21,0,0.00E+00
2019,1,16,21,30,0.00E+00
2019,1,16,22,0,0.00E+00
2019,1,16,22,30,0.00E+00
2019,1,16,23,0,0.00E+00
2019,1,16,23,30,0.00E+00
